review_id,product_title,text,score,sentiment,source
A3U210G6X3SGHZ,B0006ZQ9BS,"Despite that I Think the game did the right thing by leaving that horrible group (gay-unit), this pretentious and mean-spirited and boring album is still not enough for me to recommend.Although the album has great beats, it's ruined by really terrible rapping, poorly written lyrics and the other cov",1.0,negative,SNAP Amazon Digital Music 5-core
AW53QFIBH472H,B0000039QI,THE LOX NOW ARE IMPROVED AND WITH A BETTER RAP FAMILY.THIS ALBUM IS WACK DON'T BUY IT.,2.0,negative,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_774,amazon_cells_labelled,"Excellent sound, battery life and inconspicuous to boot!.",5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
uci_amazon_cells_labelled_448,amazon_cells_labelled,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A14DHJGIUSYKP6,B00004T9UF,LYRICS GREAT BUT HES GOING POP IS HE GONNA END UP LIKE JA RULE,2.0,negative,SNAP Amazon Digital Music 5-core
uci_imdb_labelled_299,imdb_labelled,"I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he",5.0,positive,UCI Sentiment Labelled Sentences (imdb_labelled)
A3GKMK6KQH3Y1H,B001BM67QW,"I know a lot of folks are going nuts over this band, so I really wanted to like this album.  But the only word that comes to mind is ""underwhelmed"", which seems ironic because they try very hard to be one of those big-stadium-sounding modern rock bands with the over-emotive lead vocalist that are in",3.0,neutral,SNAP Amazon Digital Music 5-core
A30FG2KXHTRPK8,B000063UZ8,"I love this cd as much as Last Splash, but I don't listen to this one as much because it's a lot more mellow.  I bought this album having figured that all the band's music was high-energy rock'n'roll.  Even though I can't always undrstand the lyrics, at least the Breeders music is complex and intere",5.0,positive,SNAP Amazon Digital Music 5-core
A2JCGI5QI9FIBD,B000002JAI,Test For Echo has a few decent songs but as a whole this album is pretty much forgettable.  The title track and virtuality rockharder than Rush as since it's 2112 days.  Unfortunately both songs are plagued by really bad lyrics.  The two songs on this albums that are worth having are Driven and Resi,2.0,negative,SNAP Amazon Digital Music 5-core
A2CT2SA6KFE8GC,B000002KE5,"Alice Cooper's had his share of hit songs, but he will always be remembered for &quot;School's Out.&quot;  It's a good song, but ironically my least favorite on the album!  This whole album is pretty solid with some awesome songs on it that never made it to the radio.  This was the band's real break",5.0,positive,SNAP Amazon Digital Music 5-core
AGQEUU21DLZBH,B003V5PPZG,"Sad to see the avg. 3 stars on this release, but will say im not surprised.This disc is lush, at times depressing, at times angry and at times mystical. Their initial fan base were angry teenage males or pop/metal crossover fans. They have not evolved with the band or they refuse to see LP for more ",4.0,positive,SNAP Amazon Digital Music 5-core
uci_amazon_cells_labelled_534,amazon_cells_labelled,Great case and price!,5.0,positive,UCI Sentiment Labelled Sentences (amazon_cells_labelled)
A3FZ4NE1C45RU,B000WL7UQ4,"You must have this if you're a DJ! Someone is bound to ask you for it sooner or later. It's a great track to get a whole group of people dancing. Yeah, that's what club owners wanna see. Forget how cheesy the track may be or if Soulja Boy is a one hit wonder. Time will tell. It is what it is, a bril",3.0,neutral,SNAP Amazon Digital Music 5-core
